mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,807165907,0,03/01/22,7:20:08,03/01/22,SafeSt,SafetyStock,,,120.000-,1,075.00,03/03/22,9
1,807165907,0,01/12/22,7:19:31,01/12/22,SafeSt,SafetyStock,,,120.000-,1,208.00,01/14/22,9
1,807165907,304,01/12/22,7:19:31,01/13/22,SchAgr,F3KXYH3/00001*,01/12/22,10,80,987,01/14/22,9
1,807165907,711,01/12/22,7:19:31,01/14/22,SchAgr,F3KXYH3/00001*,01/13/22,10,80,823,01/14/22,9
1,807165907,0,02/10/22,7:19:45,02/10/22,SafeSt,SafetyStock,,,120.000-,916,02/12/22,9
1,807165907,2,02/10/22,7:19:45,02/10/22,ShipNt,0185658155/F3KXYH3,02/09/22,10,320,1,236.00,02/12/22,9
1,807165907,285,03/28/22,4:05:21,03/29/22,SchAgr,F3KXYH3/00001*,03/28/22,10,400,1,514.00,03/30/22,9
1,807165907,0,01/18/22,7:19:51,01/18/22,SafeSt,SafetyStock,,,120.000-,1,433.00,01/20/22,9
1,807165907,240,01/18/22,7:19:51,01/19/22,SchAgr,F3KXYH3/00001*,01/18/22,10,480,1,676.00,01/20/22,9
1,807165907,739,01/18/22,7:19:51,01/20/22,SchAgr,F3KXYH3/00001*,01/19/22,10,240,1,419.00,01/20/22,9
1,807165907,0,01/19/22,7:19:51,01/19/22,SafeSt,SafetyStock,,,120.000-,1,645.00,01/21/22,9
1,807165907,0,03/02/22,7:19:53,03/02/22,SafeSt,SafetyStock,,,120.000-,1,108.00,03/04/22,9
1,807165907,0,02/25/22,7:19:52,02/25/22,SafeSt,SafetyStock,,,120.000-,1,188.00,02/27/22,9
1,807165907,587,02/25/22,7:19:52,02/28/22,SchAgr,F3KXYH3/00001*,02/26/22,10,400,1,326.00,02/27/22,9
1,807165907,0,02/24/22,7:20:07,02/24/22,SafeSt,SafetyStock,,,120.000-,1,247.00,02/26/22,9
